venue_id,overture_name,yelp_name,yelp_id,yelp_rating,yelp_review_count,match_confidence
238411,Upper Oso Campground,Upper Oso Campground,yFHFfDAnnrO6JQY-AgTgQw,4.0,13,100.0
238418,Upper Oso Campground,Upper Oso Campground,yFHFfDAnnrO6JQY-AgTgQw,4.0,13,100.0
238419,Paradise Campground,Paradise Campground,_j3bPrVniuj7zjLYtqndvg,3.0,36,100.0
238429,Red Rock Trail,Red Rock Trail,CTw1twYjlN4MvFBPaMxm7g,4.5,7,100.0
238430,Fremont Campground,Fremont Campground,WshEBfK1zO4Px2z7JpEb-w,3.5,51,100.0
238431,Los Prietos Campground,Los Prietos Campground,IpA_AqlvRfWL9IH-WRSLcw,3.0,48,100.0
238435,Rancho Oso RV & Camping Resort,Rancho Oso RV & Camping Resort,XIxRVknkLox7_Z9ppmHepg,3.5,90,100.0
238439,Fremont Campground,Fremont Campground,WshEBfK1zO4Px2z7JpEb-w,3.5,51,100.0
238441,Sage Hill Campground,Sage Hill Campground,OOlnM8jfJEBmSvapU9tP6A,4.5,6,100.0
238444,Sage Hill Group Campground,Sage Hill Campground,OOlnM8jfJEBmSvapU9tP6A,4.5,6,86.95652173913044
238445,Rancho San Marcos Golf Course,Rancho San Marcos Golf Course,hYlAyz4RM1kE7ErPhPQ2xw,4.5,33,100.0
238446,Rancho San Marcos Golf Course,Rancho San Marcos Golf Course,hYlAyz4RM1kE7ErPhPQ2xw,4.5,33,100.0
238447,Cold Spring Tavern,Cold Spring Tavern,0qu0fNTOsSmuREYVIMPuIQ,4.5,1018,100.0
238448,Cold Spring Tavern,Cold Spring Tavern,0qu0fNTOsSmuREYVIMPuIQ,4.5,1018,100.0
238455,Upper Oso Campground,Upper Oso Campground,yFHFfDAnnrO6JQY-AgTgQw,4.0,13,100.0
238458,Red Rock Santa Barbara,Rockin' Kids Santa Barbara,XCyjkJf-Abj6z4Aqe1fB1g,3.5,21,83.33333333333334
238475,White Lotus Yoga Foundation,White Lotus Yoga Foundation,Nbp6qquQh2MOaVE1HFQafA,4.0,12,100.0
238478,La Cumbre Peak,La Cumbre Plaza,qBTyG8JYYE8DWur0eBTYcw,3.0,27,82.75862068965517
238481,Santa Barbara Mountains,Santa Barbara Nails,GctpGtQPijpg3uTjzOrafQ,4.0,30,85.71428571428572
238491,Chumash Painted Cave State Historic Park,Chumash Painted Cave State Historic Park,mndXN5-DmwW3xzxK7XoMmg,3.5,48,100.0
238494,Winchester Canyon Gun Club,Winchester Canyon Gun Club,yQ2s6NUfRGQhq-lWIb3E_g,4.0,9,100.0
238502,Cathedral Peak,Cathedral Peak Hike,WgsLAKkx5XEi0sMH_E95RA,4.5,5,84.84848484848484
238506,Picotte Windchimes,Picotte Windchimes,hftQ9X-z816C1ikF8DgD1w,5.0,5,100.0
238510,Santa Barbara Wine Country,Santa Barbara Wine Country Tours,TvBxBjed-iX6_22SwEYEFQ,5.0,23,89.65517241379311
238555,Complete Care Santa Barbara,Optometry Care Santa Barbara,dO8mWdDY04Bxejg2AQ6mew,4.0,37,83.63636363636364
238561,Cold Springs Trail,Cold Spring Trail,UapYEoW56wKcS_NVc_AGhA,4.5,23,97.14285714285714
238566,Acme Detection,Acme Detection,cxwLQ1dhonl4Q3ektY_MTg,5.0,11,100.0
238568,Hot Springs Trail,Cold Spring Trail,UapYEoW56wKcS_NVc_AGhA,4.5,23,82.35294117647058
238579,Super Bee Rescue and Removal,Super Bee Rescue and Removal,dld9HhmtWlZwM-8evbtUlQ,5.0,14,100.0
238585,Jesusita Trailhead,Jesusita Trail,-QW-w0sgpjn9d6kADhk-cA,4.5,24,87.5
