yelp_id,name,category,latitude,longitude,yelp_rating,yelp_review_count,city,is_open
Pns2l4eNsfO8kk83dixA6A,"Abby Rappoport, LAC, CMQ","Doctors, Traditional Chinese Medicine, Naturopathic/Holistic, Acupuncture, Health & Medical, Nutritionists",34.4266787,-119.7111968,5.0,7,Santa Barbara,0
noByYNtDLQAra9ccqxdfDw,H&M,"Women's Clothing, Accessories, Children's Clothing, Men's Clothing, Adult, Shopping, Fashion",34.4202089255,-119.7004597389,3.0,24,Santa Barbara,1
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",34.4144445,-119.6906718,4.0,389,Santa Barbara,1
nUqrF-h9S7myCcvNDecOvw,Iron Horse Auto Body,"Towing, Automotive, Body Shops",34.4196198,-119.6770319,4.5,32,Santa Barbara,1
bYjnX_J1bHZob10DoSFkqQ,Tinkle Belle Diaper Service,"Parenting Classes, Maternity Wear, Fashion, Education, Specialty Schools, Local Services, Home Services, Laundry Services, Child Care & Day Care, Shopping, Baby Gear & Furniture",34.420334,-119.7107494,5.0,17,Santa Barbara,1
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife",34.4087147,-119.6850187,4.0,2404,Santa Barbara,1
QZU7TcrztBb3tXaPbVCkXg,805 Ink,"Beauty & Spas, Tattoo",34.4241297,-119.7053211,4.5,68,Santa Barbara,1
25Uww0C0wvF9CZ_3B6vWtA,Enjoy The Mountain,"Motorcycle Rental, Tours, Hiking, Mountain Biking, ATV Rentals/Tours, RV Rental, Hotels & Travel, Arts & Entertainment, Active Life",34.4143420056,-119.6873324599,4.5,48,Santa Barbara,1
xF9r1XbMvEOsJeHlmFhIvw,Weddings in Santa Barbara,"Professional Services, Officiants, Event Planning & Services, Wedding Planning",34.3982982,-119.725931,5.0,13,Santa Barbara,1
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,"Pizza, Restaurants",34.4362361,-119.7261474,4.0,64,Santa Barbara,1
4pS7qnjJ7_DCoJB-Enl7KA,Prop and Decor Outlet: The Tent Merchant Inc.,"Shopping, Home & Garden, Home Decor, Props",34.4214452,-119.7014496,4.0,5,Santa Barbara,1
X7FQ5k29A_RRYep7TOfjtw,"Dawna Ara, DACM, LAc","Health & Medical, Beauty & Spas, Skin Care, Acupuncture, Massage, Traditional Chinese Medicine",34.4392950745,-119.7443122433,5.0,54,Santa Barbara,1
VEbHYioBfoPiIOWntE_DBA,Tienda Ho,"Shopping, Women's Clothing, Jewelry, Fashion, Accessories",34.422317,-119.7036672,4.5,34,Santa Barbara,0
82suwumWp1MEq04QhiS9DQ,Surreal Virtual Reality Studio,"Recreation Centers, Arts & Entertainment, Virtual Reality Centers, Active Life",34.4167818,-119.6951394,5.0,30,Santa Barbara,0
uHprVoxTV7CwKJdaEEf3aA,Challenge Asphalt Paving,"Masonry/Concrete, Contractors, Home Services",34.419063,-119.6783917,4.0,18,Santa Barbara,1
-kY_HDP7IMvGl-kBIZVU4A,Dune Coffee Roasters - Anacapa,"Coffee & Tea, Coffee Roasteries, Food",34.4189939,-119.6950684,4.0,320,Santa Barbara,1
6jomGWEI4ryImrWPguUQQQ,Santa Barbara Athletic Club,"Fitness & Instruction, Swimming Pools, Active Life, Recreation Centers, Gyms",34.413384,-119.7003408,3.0,55,Santa Barbara,1
VeIrgRMOK_0ZToziUd2kUA,Franceschi Park,"Parks, Active Life",34.4399258,-119.6939139,4.5,26,Santa Barbara,1
BkmVHg6HjHWMc0OFxcd6VQ,Hair By Audrey Johnson,"Hair Stylists, Beauty & Spas, Hair Extensions, Hair Salons",34.4381407,-119.6151426,5.0,5,Santa Barbara,1
